BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
2114.8,443.5,462.95
2163.4,441,456.4
2209.35,456.15,469.9
2163.6,462.45,470.6
2205.35,483.45,466.65
2198.5,469.9,474.9
2185.1,458.65,460.55
2184.3,447.9,457.6
2194.65,466.95,474.7
2194.4,466.5,474.95
2242.7,464.05,464.9
2294.95,461.55,468.1
2283.3,453.95,475.35
2288.1,454.85,474.8
2285.3,448.75,474.95
2290.1,403.9,474.9
2281.55,417.25,474.95
2316.85,417.2,475
2330.65,418.2,474.8
2351.45,419.1,475
2409,422.1,474.75
2413.6,425.75,470.75
2458.5,439.6,465.15
2483.2,437.15,474.8
2487.6,432.7,462.9
2494.55,430.75,473.4
2455.1,428.55,493.45
2444.95,425.35,503.75
2437.9,427.1,504.9
2409.65,423.6,506.65
2402.35,418.05,510.1
2421,430.25,513.7
2408.9,425.25,533.85
2400.95,421.3,535.3
2438.8,416.25,530.3
2422.05,415.7,544.65
2409.35,425.4,549.8
2400.6,432.4,542
2398.1,434.35,550.1
2413.65,433.2,537.45
2490.5,426.45,526.45
2470.2,422.35,540.95
2528.45,429.95,547.55
2654.15,426.5,551.8
2701.65,431.6,563.9
2695.85,430.25,569
2688,431.9,574.6
2725.5,431.7,569.5
2713.2,434.55,580.4
2719.7,435.25,576.75
2720.85,434.85,589.35
2711.7,435.3,609.7
2705.3,434.2,602.95
2650.5,458,607.6
2557.65,480.75,610.9
2635,477.6,600.3
2659.8,470.65,614.65
2660.8,470.35,611.95
2651.25,469.35,611.4
2681.4,479.65,614.2
2753.55,485.9,635
2794.65,492.95,644.1
2775.3,478.9,631.55
2848.65,485.1,619.65
2798.4,485.35,639.65
2779.4,478.55,616.65
2784.4,480.65,610.95
2796.15,479.65,613.4
2731.75,485.25,627.9
2749.15,487.75,643.45
2783.35,519.6,655.2
2871,514.6,695.3
3004,511.8,739.15
2997.4,512.95,747.5
1480.6,510.2,762.2
1459.4,516.5,762.15
1469.1,519,755.7
1472.35,516.45,759.75
1469.8,514.25,780.1
1450.7,524.8,787.75
1445.75,527.5,798.85
1459.15,526.2,772.8
1458.4,526.4,773.95
1443.3,526.2,770
1440.45,527.4,775.75
1448.45,534.1,793.25
1455.6,543.5,793.6
1450.85,535.2,774.6
1491.2,534.35,773.55
1469.9,526.8,774.95
1547.45,515.35,783.4
1534.75,514.75,779
1581.7,515.05,799.45
1596.35,514.55,783.85
1567.95,505.45,779.25
1547.25,504.55,793.65
1552,499.8,798.15
1523.75,506.9,797.6
1543.35,501.95,805.4
1523.7,499.3,784.9
1504.9,506.4,759.95
1519.7,500.25,751.2
1514.45,488.3,765.8
1487.15,491,771.6
1490.2,483.2,772.9
1486.55,485.8,791.2
1490.1,478.2,783.95
1498.8,473.75,777.35
1479.1,466.2,770.6
1488.95,470.2,774.45
1510.95,467.25,798.6
1530.75,472.1,806.4
1548.75,480.15,799.25
1582.35,481.95,810.3
1610.35,489.5,811.9
1614.35,481.8,809.15
1600.45,475.3,815.8
1610,471.95,809.9
1574.6,465.4,795.9
1567.8,455.15,782.75
1581.45,465.9,781.55
1590.85,465.4,778.6
1560.1,462.6,772.3
1561.2,457,761.6
1562.45,462.7,763.85
1598.1,460,764.2
1638.45,457.95,758.55
1611.15,460.05,734.65
1633.75,461.65,730.15
1613.25,460.45,713.6
1592.7,472.1,707.35
1576.6,481.65,713.3
1571.2,484.35,741.85
1574.3,486.7,719.95
1600.15,487.1,707.15
1585.45,482.05,671.75
1606.9,459.4,670.05
1565.7,459,661
1532.65,458.45,687.45
1490.55,459.2,698.65
1496.85,457.8,705.5
1493.45,458.9,690.5
1470.15,459.55,688.05
1454.35,453.4,688
1451.5,456.4,684.25
1452.1,444.2,681.7
1444.9,450,701.4
1445.1,451.3,693
1444.9,454.75,689.05
1456.75,472.9,699.95
1467,470.75,699.1
1484.3,465.75,703.85
1480.15,462.85,703.6
1541,470.4,704.75
1476.5,468.2,700.4
1429.8,464.75,697.5
1374.5,454.5,688.75
1327.85,445.85,659.65
1316.6,438.25,643.8
1261.75,432.4,635.65
1305.7,432.75,644.1
1286.95,432.75,640.1
1286.55,423.9,633
1246.8,413.45,634.05
1268.4,433.8,651.5
1294.7,435.45,630.95
1321.8,429.6,622.35
1300.2,424.7,629.35
1313.3,422.7,641.55
1307.35,423.9,620.7
1294.35,416.15,611.1
1286.15,415.25,591.45
1260.65,408.8,587.45
1245.95,414,561.4
1246.1,405.05,544.4
1214.3,408.55,599.6
1209.55,410.3,590.65
1226.8,415.05,595.1
1217.8,415.3,589
1239.2,409.8,590.25
1204.15,408.85,565.05
1209.9,417.15,600.1
1255.9,427.4,614.05
1298.5,415.85,611.6
1328.1,428.95,600.55
1332.1,431,615.45
1351.25,430.5,630.2
1339.1,426.05,633.6
1335.75,425.4,648.75
1329.8,448.15,619.55
1307.2,429.6,604.9
1264.3,426.45,580.35
1282.25,432.8,614.7
1269.15,441.85,617.7
1335.5,530.25,617.35
1350.1,547.05,636.35
1376.9,515.2,626.35
1365.45,541,632
1390.6,578.55,645.55
1417.05,564.05,663.4
1401.3,550.15,659.55
1374.15,558.65,664.35
1383.3,522.05,646.15
1365.95,540.4,646.7
1372.35,527.9,648.15
1358.95,513.7,632.9
1358.35,504.3,629.25
1355.5,528.95,631.55
1362,532.15,642.15
1359.95,518.65,638.65
1354.45,517.9,647.8
1381.2,516.6,665.05
1402.6,515.75,693.75
1406.9,516.25,708.5
1420.95,524.3,699.85
1463.25,523.7,699.4
1458.95,527.2,721.45
1456.95,524.75,710.6
1438.15,522.05,718.05
1451.6,528.8,716.95
1440.25,530.9,720.9
1416.95,530.05,715.35
1382.1,525.45,719.4
